ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240612,00950,0000002511,시장가,02,매수,000990,DB하이텍,3839,093504,3839,43179,165765700,01,6,ai
20240612,00950,0000002519,시장가,02,매수,033640,네패스,9526,093513,9526,17314,164935780,01,6,ai
20240612,00950,0000002540,시장가,02,매수,118990,모트렉스,12541,093541,12541,13183,165332210,01,6,ai
20240612,00950,0000003590,시장가,01,매도,000990,DB하이텍,3839,101842,3839,42770,164196450,01,6,ai
20240612,00950,0000003598,시장가,01,매도,033640,네패스,6367,101844,6367,17243,109791610,01,6,ai
20240612,00950,0000003604,시장가,01,매도,118990,모트렉스,12541,101847,12541,13260,166296410,01,6,ai
20240612,00950,0000003636,시장가,02,매수,005930,삼성전자,32,101946,32,75637,2420400,01,6,ai
20240612,00950,0000003744,시장가,02,매수,053610,프로텍,377,102421,377,32550,12271350,01,6,ai
20240612,00950,0000005712,시장가,02,매수,093370,후성,1522,113630,1522,8097,12324510,01,6,ai
20240612,00950,0000008843,시장가,02,매수,000660,SK하이닉스,57,130241,57,213578,12174000,01,6,ai
20240612,00950,0000010378,시장가,02,매수,066570,LG전자,122,142711,122,100540,12265900,01,6,ai
