ord_dt,ord_gno_brno,odno,orgn_odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_unpr,ord_tmd,tot_ccld_qty,avg_prvs,cncl_yn,tot_ccld_amt,loan_dt,ordr_empno,ord_dvsn_cd,cncl_cfrm_qty,rmn_qty,rjct_qty,ccld_cndt_name,inqr_ip_addr,cpbc_ordp_ord_rcit_dvsn_cd,cpbc_ordp_infm_mthd_dvsn_cd,infm_tmd,ctac_tlno,prdt_type_cd,excg_dvsn_cd,cpbc_ordp_mtrl_dvsn_cd,ord_orgno,rsvn_ord_end_dt
20240527,00950,0000014773,0000000000,시장가,02,매수,005930,삼성전자,212,0,145459,212,77174,N,16361000,,,01,0,0,0,,,,,145459,,,,,,
20240527,00950,0000015467,0000000000,시장가,01,매도,005930,삼성전자,212,0,151535,212,77685,N,16469300,,,01,0,0,0,,,,,151535,,,,,,
20240528,00950,0000003220,0000000000,시장가,02,매수,093370,후성,2122,0,094655,2122,7720,N,16381910,,,01,0,0,0,,,,,094655,,,,,,
20240528,00950,0000003233,0000000000,시장가,02,매수,066570,LG전자,157,0,094704,157,103979,N,16324800,,,01,0,0,0,,,,,094704,,,,,,
20240528,00950,0000004716,0000000000,시장가,02,매수,217820,원익피앤이,3328,0,100658,3328,4905,N,16325500,,,01,0,0,0,,,,,100658,,,,,,
20240528,00950,0000016976,0000000000,시장가,01,매도,066570,LG전자,157,0,143446,157,106423,N,16708500,,,01,0,0,0,,,,,143446,,,,,,
20240528,00950,0000016977,0000000000,시장가,01,매도,093370,후성,2122,0,143448,2122,7622,N,16175600,,,01,0,0,0,,,,,143448,,,,,,
20240528,00950,0000016979,0000000000,시장가,01,매도,217820,원익피앤이,3328,0,143450,3328,4867,N,16200485,,,01,0,0,0,,,,,143450,,,,,,
20240528,00950,0000017054,0000000000,시장가,02,매수,093370,후성,479,0,143848,479,7620,N,3649980,,,01,0,0,0,,,,,143848,,,,,,
20240528,00950,0000017059,0000000000,시장가,02,매수,066570,LG전자,34,0,143858,34,106891,N,3634300,,,01,0,0,0,,,,,143858,,,,,,
20240528,00950,0000018309,0000000000,시장가,01,매도,066570,LG전자,34,0,151534,34,109111,N,3709800,,,01,0,0,0,,,,,151534,,,,,,
20240528,00950,0000018312,0000000000,시장가,01,매도,093370,후성,479,0,151535,479,7620,N,3650180,,,01,0,0,0,,,,,151535,,,,,,
